procedure_code,procedure_name,frequency,price_level_1,price_level_2,price_level_3,price_level_4
MIN0001,WOUND DRESSING (MINOR),987,"1,752.48","2,330.80","3,333.04","5,099.55"
PCD280,ANTENATAL CARE PACKAGE- ROUTINE INV AND 8 VISITS,862,"50,000.00","70,000.00","100,000.00","150,000.00"
MAJ0002,WOUND DRESSING (MAJOR),646,"2,438.38","3,243.05","4,637.55","7,095.46"
PCD798,NEBULISATION,511,"5,039.25","7,000.00","9,584.15","12,000.00"
PCD4254,PHYSIOTHERAPY SESSION,457,"5,643.32","7,505.62","10,733.03","16,421.54"
REG,REGISTRATION,397,"2,696.12","3,585.84","5,127.75","7,845.46"
INP0003,Professional Fee,261,"12,510.52","16,638.99","23,793.76","36,404.45"
PCD307,CAESERAN SECTION,268,"226,904.13","301,782.49","431,548.96","660,269.92"
PCD274,Normal Delivery,235,"58,364.16","77,624.33","111,002.80","169,834.28"
PCD240,CIRCUMCISION,180,"9,296.56","12,364.42","17,681.13","27,052.13"
PCD788,BLOOD TRANSFUSION RH +VE BLOOD WITH SET,201,"50,000.00","70,000.00","80,000.00","90,000.00"
PCD794,EAR SYRINGING -BILATERAL,181,"9,373.60","12,466.89","17,827.65","27,276.30"
PCD135,FINE NEEDLE ASPIRATION,220,950.62,"1,264.32","1,807.98","2,766.22"
PCD303,ERPC EVACUATION MVA,87,"20,000.00","30,000.00","40,000.00","50,000.00"
PHOT01,PHOTOTHERAPY (SINGLE) PER DAY,88,"6,558.26","8,722.49","12,473.15","19,083.93"
DNA001,CONSUMABLES (N/A),33,715.90,952.15,"1,361.57","2,083.20"
ADM0006,Accommodation - Four Bedded room,154,"4,000.00","5,253.50","7,512.51","11,494.13"
PCD4089,CVF,72,"8,000.00","10,000.00","12,000.00","14,549.54"
PCD795,EAR SYRINGING -UNILATERAL,65,"10,000.00","13,300.00","19,019.00","29,099.07"
PCD4334,SUTURING OF LACERATIONS,52,"5,000.00","8,000.00","12,000.00","15,000.00"
BIO0016,BLOOD GROUP AND ANTIBODY,62,"2,000.00","3,000.00","4,000.00","5,000.00"
PCD41,OPEN APPENDICECTOMY,55,"150,000.00","200,000.00","250,000.00","400,000.00"
PCD273,EPISIOTOMY AND REPAIR,47,"13,908.34","18,498.09","26,452.27","40,471.98"
PCD792,EAR PIERCING,35,"3,446.19","4,583.43","6,554.31","10,028.09"
NICU,NICU,42,"27,292.68","36,299.26","51,907.95","79,419.16"
PCD130,"ABSCESS - SMALL, OR CELLULITIS REQUIRING INCISION AND DRAINAGE WITH LOCAL ANAESTHETIC",18,"10,000.00","12,000.00","14,000.00","15,000.00"
BIO0023,CLOTTING PROFILE,39,"5,000.00","6,500.00","8,000.00","10,000.00"
PCD4336,SUTURING OF LACERATIONS(MINOR),45,"5,000.00","6,500.00","8,000.00","10,000.00"
SUR0119,SIMPLE EXTRACTION,24,"10,553.79","14,036.54","20,072.25","30,710.55"
PCD272,Induction of Labour Normal delivery,32,"33,767.50","44,910.78","64,222.41","98,260.28"
BIO0034,SKIN SCRAPING,31,"15,000.00","17,000.00","20,000.00","25,000.00"
PCD508,DEEP LACERATION SUTURE,30,"26,016.29","34,601.67","49,480.38","75,704.98"
PCD715,ANTERIOR COMPOSITE RESTORATION,23,"10,857.72","14,440.77","20,650.30","31,594.96"
DIAG456,BIOPSY- SMALL SPECIMEN FOR HISTOLOGY - [TISSUE],30,"19,304.11","25,674.47","36,714.49","56,173.16"
PCD4129,EXCISIONAL BIOPSY(WITH HISTOLOGY),31,"119,470.89","158,896.28","227,221.69","347,649.18"
PCD299,INSERTION OF IUCD,30,"9,402.63","12,505.50","17,882.86","27,360.78"
PCD4331,SURGICAL EXTRACTION,29,"29,782.61","39,610.87","56,643.55","86,664.63"
PCD241,CATHETERISATION,21,"12,012.45","15,976.56","22,846.48","34,955.11"
PCD131,"ABSCESS - LARGE, OR EXTENSIVE CELLULITIS REQUIRING INCISION OR DRAINAGE",22,"9,999.00","11,999.00","13,999.00","14,999.00"
SUR0164,INCISION AND DRAINAGE,19,"20,426.19","27,166.83","38,848.57","59,438.31"
PCD300,REMOVAL OF INTRAUTERINE DEVICE IUCD,27,"8,263.38","10,990.30","15,716.12","24,045.67"
PCD137,EXCISION OF GANGLION,22,"83,802.74","111,457.64","159,384.43","243,858.18"
PCD70,EXPLORATORY LAPAROTOMY,16,"273,600.00","363,888.00","520,359.84","796,150.56"
AMB01,Ambulance,14,"54,583.33","72,595.83","103,812.04","158,832.41"
PCD258,CERVICAL LACERATION REPAIR,18,"27,614.07","36,726.71","52,519.20","80,354.38"
PCD4032,"ASSISTED DELIVERY (FORCEPS,VACUUM ETC): BUNDLED PRICE",16,"60,000.00","80,000.00","100,000.00","150,000.00"
PCD172,"FOREIGN BODY REMOVAL-EAR, NOSE, THROAT",14,"18,852.26","25,073.51","35,855.11","54,858.32"
PCD4335,SUTURING OF LACERATIONS(MAJOR),18,"17,481.35","23,250.20","33,247.78","50,869.10"
PCD4408,APPENDICECTOMY COMPLICATED RUPTURED,14,"150,000.00","200,000.00","300,000.00","400,000.00"
PCD222,Prostate - Needle Biopsy Neddle,17,593.42,789.25,"1,128.63","1,726.80"
PCD4355,TONGUE TIE RELEASE,13,"6,425.00","8,545.25","12,219.71","18,696.15"
SUR0126,HERNIORRHAPHY - OBSTRUCTED,27,"150,000.00","199,500.00","285,285.00","436,486.05"
DIAG455,BIOPSY- MEDIUM SPECIMEN FOR HISTOLOGY - [TISSUE],12,"13,656.86","18,163.62","25,973.98","39,740.19"
PCD134,BURNS WOUND DEBRIDEMENT AND DRESSING,17,"40,086.00","53,314.38","76,239.56","116,646.53"
PCD90,Gastroscopy,10,"76,363.64","101,563.64","145,236.01","222,211.09"
INP0005,Professional Fee,22,"9,353.30","12,439.89","17,789.04","27,217.23"
PCD285,ABDOMINAL MYOMECTOMY - ABOVE 28 WEEKS,8,"150,000.00","200,000.00","300,000.00","400,000.00"
PCD304,CERVICAL CERCLEAGE,10,"107,291.67","142,697.92","204,058.03","312,208.78"
ADM0003,Nursery Room/Accommodation,19,"20,000.00","26,600.00","38,038.00","58,198.14"
PCD284,ABDOMINAL MYOMECTOMY - BELOW 28 WEEKS,6,"150,001.00","200,001.00","300,001.00","400,001.00"
PCD4401,BILATERAL AURAL PACKING,10,"12,000.00","15,960.00","22,822.80","34,918.88"
PCD126,BILATERAL HERNIA - INGUINAL REPAIR,9,"187,500.00","249,375.00","356,606.25","545,607.56"
PCD88,Colonoscopy,7,"88,414.06","117,590.70","168,154.70","257,276.69"
PCD133,DEBRIDEMENT OF INFECTED WOUND AREA AND CLOSURE,14,"41,593.75","55,319.69","79,107.15","121,033.94"
PHOT02,PHOTOTHERAPY (DOUBLE) PER DAY,8,"6,711.71","8,926.57","12,765.00","19,530.45"
PCD688,CYST - SOFT TISSUE - EXCISION,8,"68,283.22","90,816.68","129,867.86","198,697.82"
PCD301,IMPLANON INSERTION,9,"13,834.67","18,400.11","26,312.16","40,257.60"
PCD387,INGROWN TOENAIL - RADICAL EXCISION / WEDGE RESECTION - UNILATERAL,8,"36,679.67","48,783.96","69,761.06","106,734.43"
DRG4696,PHYSIOGEL,15,"2,016.75","2,682.28","3,835.66","5,868.55"
PCD244,MARSUPIALISATION,7,"62,048.17","82,524.07","118,009.41","180,554.40"
CLI0148,Physical Examination,8,"2,000.00","2,660.00","3,803.80","5,819.81"
PCD447,PLASTER OF PARIS LONG ARM,6,"71,428.57","95,000.00","135,850.00","207,850.50"
PCD170,ADENOTONSILLECTOMY,6,"200,000.00","300,000.00","350,000.00","400,000.00"
PCD903,Incubator Care,7,"17,833.33","23,718.33","33,917.21","51,893.33"
PCD46,LAPAROSCOPIC APPENDICECTOMY,7,"205,606.00","273,455.98","391,042.05","598,294.34"
ADM0007,Accommodation and Nursing- Daycase,9,"1,500.00","1,995.00","2,852.85","4,364.86"
Pro0005,EAR DRESSING,2,"2,890.67","3,844.59","5,497.77","8,411.58"
PCD793,Nasal Packing,4,"4,365.83","5,806.55","8,303.37","12,704.16"
PCD121,REPAIR OF UMBILICAL HERNIA,7,"274,166.67","364,641.67","521,437.59","797,799.51"
PCD725,FLUORIDATION -PER JAW,4,"2,564.78","3,411.16","4,877.96","7,463.27"
PCD763,Fine Needle Aspiration (Other Than Breast) Under Ultrasound,4,67.50,89.78,128.38,196.42
ADM00004,admission and investigations,5,"4,500.00","5,985.00","8,558.55","13,094.58"
PCD44,Hartmann’s procedure,3,"2,306.67","3,067.87","4,387.06","6,712.20"
ICU,ICU CARE/DAY,4,"557,950.00","742,073.50","1,061,165.11","1,623,582.61"
CONS021,Gp Consultation,101934,"3,000.00","5,000.00","7,000.00","10,000.00"
CONS022,Gp Review \follow up,5728,"1,500.00","2,500.00","3,500.00","5,000.00"
ADM03,GENERAL ROOM,3829,"4,000.00","6,000.00","8,000.00","10,000.00"
FEED03,GENERAL ROOM FEEDING,2811,"5,000.00","6,500.00","8,000.00","10,000.00"
ADM02,SEMI PRIVATE ROOM,2365,"6,033.81","8,024.97","11,475.70","17,557.83"
FEED02,SEMI PRIVATE ROOM FEEDING PER DAY,1632,"6,000.00","7,000.00","9,000.00","10,000.00"
ADM01,PRIVATE ROOM,1413,"8,000.00","12,000.00","15,000.00","20,000.00"
CONS023,Gynaecology and Obstetrics Consultation,1324,"15,000.00","25,000.00","30,000.00","50,000.00"
CONS047,Paediatrician Consultation,1201,"15,000.00","25,000.00","30,000.00","50,000.00"
FEED01,PRIVATE ROOM FEEDING PER DAY,1055,"7,000.00","10,000.00","12,000.00","15,000.00"
CONS039,Opthalmologist Consultion,1108,"15,000","25,000","30,000","50,000"
CONS003,Cardiologist Consultation,911,"15,000","25,000","30,000","50,000"
CONS043,Orthopaedic Consultation,684,"15,000","25,000","30,000","50,000"
CONS027,Internal Medicine Physician Consultation,486,"15,000","25,000","30,000","50,000"
CONS024,Gynaecology and Obstetrics Follow Up,500,"7,418.93","9,867.18","14,110.06","21,588.40"
CONS015,Ent Specialist Consultation,368,"15,000","25,000","30,000","50,000"
CONS019,General Surgeon Consultation,413,"15,000","25,000","30,000","50,000"
CONS004,Cardiologist Follow Up,458,"10,147.31","13,495.92","19,299.17","29,527.73"
CONS017,Gastroenterology Consultation,81,"15,000","25,000","30,000","50,000"
CONS045,Paediatric Surgeon Consultation,36,"15,000","25,000","30,000","50,000"
CONS011,Dietician Consultation,36,"6,396.55","8,507.41","12,165.60","18,613.37"
CONS033,Nephrology Consultation,29,"15,000","25,000","30,000","50,000"
CON3948,Consultant Physician,20,"15,000","25,000","30,000","50,000"
CONS061,Rheumatology Consultation,22,"15,000","25,000","30,000","50,000"
CONS025,Haematologist Consultation,25,"15,000","25,000","30,000","50,000"
CONS068,"Rare Specialist Consultation (Neurosurgeon, Neurologist)",16,"15,000","25,000","30,000","50,000"
DIAG162,Nephrologist Consultation (First Session),16,"15,000","25,000","30,000","50,000"
CONS055,Psychiatrist Consultation,14,"15,000","25,000","30,000","50,000"
CONS053,Plastic Surgeon Consultation,14,"15,000","25,000","30,000","50,000"
CONS037,Neurosurgeon Consultation,21,"15,000","25,000","30,000","50,000"
CONS059,Respiratory Physician / Pulmonologist Consultation,11,"15,000","25,000","30,000","50,000"
CONS083,EMERGENCY CONSULTATION,10,"10,000.00","15,000.00","20,000.00","30,000.00"
CONS001,Anaesthesiologist Consultation,4,"15,000","25,000","30,000","50,000"
CONS006,Cardiothoracic Surgeon Consultation,3,"15,000","25,000","30,000","50,000"
CONS041,Orthodontist Consultation,5,"15,000","25,000","30,000","50,000"
CONS031,Neonatologist Consultation,1,"15,000","25,000","30,000","50,000"
CONS030,Maxilloficial Surgeon Consultation,2,"15,000","25,000","30,000","50,000"
CONS063,Urologist Consultation,201,"15,000","25,000","30,000","50,000"
CONS088,FAMILY MEDICINE PHYSICIAN CONSULTATION,181,"15,000","25,000","30,000","50,000"
CONS013,Endocrinology Consultation,148,"20,000","30,000","40,000","50,000"
CONS035,Neurologist Consultation,101,"15,000","25,000","30,000","50,000"
CONS009,Dermatology Consultation,256,"15,000","25,000","30,000","50,000"
CONS051,Physiotherapist Consultation,248,"15,000","25,000","30,000","50,000"
CONS044,Orthopaedic Follow Up,271,"8,645.15","11,498.05","16,442.21","25,156.58"
CONS048,Paediatrician Follow Up,249,"8,447.42","11,235.07","16,066.15","24,581.21"
CONS052,Physiotherapist Review,108,"5,730.18","7,621.14","10,898.23","16,674.29"
CONS028,Internal Medicine Physician Review,125,"10,000.00","12,000.00","15,000.00","20,000.00"
CONS020,General Surgeon Follow Up,96,"10,000.00","12,000.00","15,524.94","20,000.00"
CONS010,Dermatology Follow Up,76,"9,136.05","12,150.95","17,375.85","26,585.06"
CONS064,Urologist Review,69,"15,518.09","20,639.06","29,513.86","45,156.20"
CONS016,Ent Specialst Follow Up,82,"9,489.16","12,620.58","18,047.43","27,612.57"
CONS036,Neurologist Follow Up,40,"13,442.14","17,878.05","25,565.61","39,115.38"
CONS014,Endocrinology Follow Up,64,"13,600.91","18,089.21","25,867.57","39,577.38"
CONS018,Gastroenterology Follow Up,44,"14,144.23","18,811.83","26,900.91","41,158.39"
Con2908,Family Medicine Physician followup,28,"6,800.00","9,044.00","12,932.92","19,787.37"
CONS089,FAMILY MEDICINE PHYSICIAN REVIEW,15,"8,203.13","10,910.16","15,601.53","23,870.35"
CONS034,Nephrology Follow Up,16,"12,075.28","16,060.12","22,965.98","35,137.94"
CONS056,Psychiatrist Review,12,"9,850.00","13,100.50","18,733.72","28,662.58"
CONS062,Rheumatology Follow Up,14,"18,001.82","23,942.42","34,237.66","52,383.62"
CONS071,Subsequent Specialist Reviews,8,"11,913.64","15,845.14","22,658.55","34,667.58"
CONS026,Haematologist Follow Up,8,"18,666.67","24,826.67","35,502.14","54,318.27"
CON123,PULMUNOLOGIST,2,"44,500.00","59,185.00","84,634.55","129,490.86"
CONS038,Neurosurgeon Follow Up,4,"25,000.00","33,250.00","47,547.50","72,747.68"
CONS012,Dietician Follow Up,2,"3,500.00","4,655.00","6,656.65","10,184.67"
CONS075,ONCOLOGY(1STVISIT),2,"33,750.00","44,887.50","64,189.13","98,209.36"
CONS042,Orthodontist Follow Up,3,"5,833.33","7,758.33","11,094.41","16,974.45"
CONS002,Anaesthesiologist Review,1,"7,500.00","10,000.00","15,000.00","20,000.00"
CONS005,Cardiothoracic Surgeon Follow Up,1,"45,000.00","59,850.00","85,585.50","130,945.82"
CONS046,Paediatric Surgeon Review,3,"11,100.00","14,763.00","21,111.09","32,299.97"
CONS060,Respiratory Physician / Pulmonologist Follow Up,3,"12,960.00","17,236.80","24,648.62","37,712.39"
CONS077,PAEDIATIC and DEVELOPMENTAL NEUROLOGY(FOLLOWUP),4,"15,000.00","19,950.00","28,528.50","43,648.61"
CONS078,PAEDIATRIC and DEVELOPMENTAL NEUROLOGY(1STVISIT),#N/A!,"50,000.00","66,500.00","95,095.00","145,495.35"
CONS054,Plastic Surgeon Review,#N/A!,"25,000.00","33,250.00","47,547.50","72,747.68"
,,#N/A!,,,,
,,#N/A!,,,,
