procedure_code,procedure_description,benefit_group
drg1757,DOXAZOSIN 2MG TABLETS (TEVA) 28 TABS,chronic medication
diag1687,Pre Dialysis Screen,renal dialysis
med0337,Tab Linagliptin 2.5 + metformin 500mg,chronic medication
diag542,CA- 19.9 (Cancer Antigen 19.9)  -  [Serum],cancer care
drg3164,Viagra 50mg,chronic medication
drg4025,AKINETON INJ,non-chronic medications
drg4817,SUPREFACT INJ,non-chronic medications
pcd752,Removal and Rewiring of Sternal Wire,surgeries
drg2054,GLYBENCLAMIDE (OTHER BRANDS) 5MG TAB,chronic medication
diag2118,XRAY Right Wrist Oblique,x-rays and contrast studies
med0208,"Vitamin A Vaccine 100,000IU",non-chronic medications
diag2044,XRAY Left Wrist Oblique,x-rays and contrast studies
med0112,HEPATITIS B VACCINE (HBV) - CHILD (10mcg),non-chronic medications
diag239,"Creatinine Clearance Test -  [Serum, urine-24hrs]",clinical pathology
diag608,TORCH-4-IgG - [Serum],clinical pathology
drg2797,RAMIPRIL 5MG * 28 TABS MULTICHRIS,chronic medication
pcd6005,PROFESSIONAL/NURSING FEE,consultation general
diag799,ACUTE LEUKAEMIA PANEL,cancer care
diag2047,XRAY Lumbar Spine AP/LAT/Both OBL,x-rays and contrast studies
diag503,Immunohistochemistry markers -  [Tissue],cancer care
pcd295,Open Salpingo-Oophorectomy bilateral,surgeries
diag142,Dobutamine Injection,chronic medication
drg1120,AMLOVAR 5mg x 100 satchet,chronic medication
diag1393,Lyme Borrelia Burgdorferi IgG antibodies by EIA(Serum),clinical pathology
diag1394,Lyme Borrelia Burgdorferi IgM antibodies by EIA - [Serum],clinical pathology
cli0020,Amniocentesis,surgeries
drg1521,CHLOROCAP CHLORAMPHENICOL 250MG,non-chronic medications
drg1706,DGF chloramphenicol eyeydrops,non-chronic medications
drg4342,FOLEYS CATHETER 20,medical appliances/consumables
diag472,Cytology - [Aspirates] (Urgent),cancer care
diag592,Progesterone (P4) -  [serum],clinical pathology
pcd403,Hallux Rigidus With Silastic Implant - Single,surgeries
pcd404,Hallux Rigidus With Silastic Implant - Bilateral,surgeries
pcd440,Manipulation of Joint,surgeries
drg4107,BETAMETHAZONE EYE DROP,non-chronic medications
diag785,"17 Ketosteroids -  [Urine, 24 hours]",clinical pathology
diag1584,Tacrolimus Blood Level  [EDTA Blood],clinical pathology
diag159,Internal Jugular Catheter (Flushing and Dressing),medical appliances/consumables
drg1405,BUSCOPAN 20MG INJ,non-chronic medications
diag176,Colposcopy  Biopsy  Histopathology,surgeries
diag320,"Triglycerides -  [Urine, spot]",clinical pathology
cli0016,Adrenalectomy – Unilateral (Laparoscopic),surgeries
cli0017,Adrenalectomy – Unilateral (Open),surgeries
pcd212,Ureteroscopy,surgeries
med0068,PLAIN MARCAINE INJ.,non-chronic medications
mri0001,ATHROGRAM,x-rays and contrast studies
med0016,SODIUM VALPROATE TAB 500MG,chronic medication
diag1513,Protein C Antigen - [Citrated plasma],clinical pathology
pcd23,Simple Repair Of Anal Fistula,surgeries
pcd4334,Suturing Of Lacerations,surgeries
drg4121,BROMHEXINE 4MG,non-chronic medications
diag1690,Prothrombin Time (PT) -  [citrate  Plasma],clinical pathology
out0060,GLUTATHIONE,clinical pathology
pcd244,Marsupialisation,surgeries
cons065,Vascular Surgeon Consulation,surgeries
drg4455,ISOSORBIDE MONONITRATE 60MG TA,chronic medication
diag1588,Tetanus Toxoid-IgG Quantitative test - [Serum],clinical pathology
drg3214,WATER FOR INJECTION,non-chronic medications
pcd26,Abdominal Paracentesis Or Pleural Tap,surgeries
diag545,CEA -Carcino Embryonic Antigen -  [Serum],cancer care
diag546,CEA -Carcino Embryonic Antigen -  [Tissue],cancer care
med0555,Vastarel 35mg,non-chronic medications
cons038,Neurosurgeon Follow Up,consultation specialist
diag1707,VDRL (RPR) -  [Serum],clinical pathology
dent15,Dental Chrome Cobalt Denture,dentistry
physio0412,Black slab Medium,surgeries
diag2076,XRAY Pelvis Left Lateral,x-rays and contrast studies
diag2078,XRAY Pelvis Right Lateral,x-rays and contrast studies
drg4968,XONADINE FEXOFENADINE HYDROCHORIDE 120MG,non-chronic medications
drg2646,Parlodel 2.5mg bromokritin,non-chronic medications
drg4539,MELADIMINE TAB 10MG,non-chronic medications
diag1973,XRAY Chest Lateral (Sternum Bone),x-rays and contrast studies
diag173,TUNNELLED CATHETER REMOVAL,surgeries
drg2397,MOKO LIQUID QUININE,non-chronic medications
drg2707,POCCO ATENOLOL 100mg by 28,chronic medication
drg3093,Tribact cream,non-chronic medications
med0531,Steroid injection,surgeries
diag202,Amylase-Urine 24hrs,clinical pathology
diag276,Lipoprotein (a) Dr. Adizua Project,clinical pathology
diag607,"Thyroxine, Total (Total T4) -  [Serum]",clinical pathology
diag1496,Phosphatydic Acid IgG antibody - [Serum],clinical pathology
diag860,Amoebiasis Antibodies-IgG Antibody - [Serum],clinical pathology
diag921,Beta-2-Crosslaps CTx-1 - [EDTA Plasma],clinical pathology
drg4807,STELAZINE TABS,non-chronic medications
diag685,Blood /Sterile body fluids Culture (Aerobic),clinical pathology
pcd138,Drainage Of Haematoma,surgeries
sur0060,Core Biopsy Of Thyroid Gland,surgeries
med0139,ACYCLOVIR CREAM,non-chronic medications
drg4794,SODIUM PICOSULFATE/MAGNESIUM CITRATE (PICOLAX) POWDER,non-chronic medications
diag504,IMMUNOHISTOCHEMISTRY OF LYMPH NODE,cancer care
out0146,Circumcision of new born,neonatal services
feed03,GENERAL ROOM  FEEDING,accomodation
diag1174,Fibrinogen -  [Plasma],clinical pathology
pcd601,Amputation - Arm,surgeries
drg2850,RHINATHIOL ADULT,non-chronic medications
drg2859,RINGER'S LACTATE,clinical pathology
drg2720,POSTINOR TAB,non-chronic medications
drg2875,ROVIGON TAB,non-chronic medications
diag1764,MRI Prostate,advanced and complex investigations
drg3107,TULIP[ATOVASTATIN] 10MG PACK,chronic medication
drg1661,CYTOTEC (MISOPRISTOL) 200MCG TABLET,non-chronic medications
diag996,CD3 - IHC single marker with reporting - [Tissue / Block],cancer care
diag1083,"Cortisol - Free [Urine, 24 hours]",clinical pathology
cons021,Gp Consultation,consultation general
diag548,CMV-IgG Antibodies to Cyto Megalo Virus -  [CSF],clinical pathology
drg2390,MODURETIC TAB,non-chronic medications
diag195,ALT (SGPT) -  [Serum],selective health screening
diag309,SGPT (ALT) -  [Serum],selective health screening
diag827,Aldolase enzymatic [Serum],clinical pathology
diag931,Bismuth ICPMS -  [EDTA Blood],non-chronic medications
diag932,Bismuth ICPMS - [Urine 24H],non-chronic medications
drg4362,HALOFANTRINE 100MG 5ML BOT,non-chronic medications
drg4728,PROTAMINE INJECTION,non-chronic medications
pcd362,Retinal Detachment Repair With Scleral Buckle,surgeries
pcd4017,Anaesthetist Fee Major Major,surgeries
drg1034,ACTRAPID INSULIN 10MLS (100 UNITS/ML),chronic medication
dent123,Amalgam Filling A/F with CaOH,dentistry
drg1151,AMPICLOX DROP (BEECHAM),non-chronic medications
drg3085,TREVIA TABS 100MG BY 35 satchet,chronic medication
drg3086,TREVIA TABS 50MG BY 35 satchet,chronic medication
diag470,Cytology -  [Washing fluid],cancer care
diag1007,CD31 (Vascular Endothelial Marker)  -  [Tissue],cancer care
diag828,Aldosterone ELISA [Serum],clinical pathology
out0005,care coordination refund,consultation general
sur0085,Diagnostic Bronchoscopy  /- Biopsy,surgeries
med0350,HYOCINE BUTYLBROMIDE 10MG INJ,non-chronic medications
pcd72,Small Bowel Resection,surgeries
pcd198,Subtotal maxillectomy,surgeries
diag554,C-Peptide (Fasting sample) -  [Serum],clinical pathology
pcd452,Plaster Of Paris Hand Cast,surgeries
diag1003,CD30 - IHC single marker with reporting - [Tissue / Block],cancer care
diag1706,VDRL (RPR) -  [CSF],clinical pathology
drg1556,CLARION VITAMIN A per SACHET,non-chronic medications
dent130,Excision of Epulis,surgeries
drg4375,HEPARIN INJECTION,chronic medication
pcd294,Open Salpingo-Oophorectomy unilateral,surgeries
med0477,AMITRIPTYLLINE 25MG (Teva),chronic medication
diag1969,XRAY Chest AP Supine View,x-rays and contrast studies
drg3201,VOLTAREN DROPS,non-chronic medications
pcd143,Endo Venous Radio Frequency Ablation of Varicose Veins,surgeries
diag170,RESUSCITATION / EMERGENCY CARE,intensive care unit
drg2790,QUININE SYR 200MLS,non-chronic medications
physio66,Antenatal physiotherapy exercise,physiotherapy
diag317,Transferrin saturation [Serum],clinical pathology
diag1044,Chlamydia Trachomatis DNA detection by PCR - [Urine],clinical pathology
pcd466,Hip Arthrotomy - Unilateral,surgeries
sur0162,Plaster Of Paris LEG BACK -Slab,surgeries
pcd434,Excision of Intramuscular Tumour or Cyst,surgeries
drg1341,BETROSIL CREAM 20MG,non-chronic medications
cli0022,Amputation Of Toe,surgeries
drg2851,RHINATHIOL CHILDREN,non-chronic medications
drg2330,MAXOLON TAB,non-chronic medications
drg2380,MINIPRESS TAB,chronic medication
diag1363,Legionella Pneumophila IgG antibodies - [Serum],clinical pathology
diag1364,Legionella Pneumophila IgM antibodies - [Serum],clinical pathology
pcd189,Tympanotomy Plus Repair Of Perilymph Fistula,surgeries
med0181,LOSARTAN HYDROCHLORTHIAZIDE 25/12.5MG,chronic medication
drg1404,BUSCOPAN 10MG TAB,non-chronic medications
drg3157,VECUTEN CREAM,non-chronic medications
med0497,SERETIDE INHALER,chronic medication
diag1327,Intrinsic Factor Antibody by IFA - [ Serum],clinical pathology
drg2708,POCCO PROPANOLOL 40mg by 28,chronic medication
drg3146,Valsartil 160mg,chronic medication
pcd177,"Excision and stapling Hypopharyngeal Diverticulum, Cricopharyngeal Myotomy",surgeries
pcd135,Fine Needle Aspiration,surgeries
drg4382,HOVID DOPATAB METHYLDOPA 250MG,chronic medication
pcd697,Sulcoplasty,surgeries
sur0176,Hymenotomy,surgeries
drg2484,NEUROVITE,non-chronic medications
drg1635,COVERAM 5/10MG TABS X30,chronic medication
drg1636,COVERAM 5/5MG TABS X30,chronic medication
opt96,Ivy Flur Eye drop,non-chronic medications
drg1172,APHAMORAL TRYPSIN-CHYMOTRYPSIN TAB,non-chronic medications
drg1844,EMZOR Vitamin E 1000mg pack,non-chronic medications
drg1866,Enterogermina,non-chronic medications
drg3130,UNASYN INJ,non-chronic medications
diag1080,Copper Graphite Furnace AAS - [Urine 24H],clinical pathology
diag884,Arsenic Graphite Furnace AAS - [Urine 24H],clinical pathology
diag1712,Magnification View of Mammography,advanced and complex investigations
opt117,Otoscopy,surgeries
pcd512,Excision Of Neuroma - Major Peripheral Nerves,surgeries
drg2524,NORPIFLEX TAB,non-chronic medications
drg4515,LOCARCORTEN VIOFORME CREAM,non-chronic medications
dent29,Dental Full Denture (Both Upper And Lower JAw),dentistry
diag534,Anti HBsAg -Total antibodies to Hepatitis B Surface Antigen (Quantitative),clinical pathology
pcd123,Unilateral Hernia - Inguinal Repair,surgeries
diag1195,Gliadin-IgA Antibodies De-amidated (DGP) Serum,clinical pathology
diag909,Bence Jones Proteins Immunofixation and freelite chains - [Urine Spot],clinical pathology
dent31,Dental Full Gold Crown - Non Precious,dentistry
drg2854,RHOGAM (ANTI-RH D IMMUNOGLOBULIN),non-chronic medications
diag1918,XRAY Abdomen (Erect View),x-rays and contrast studies
pcd114,Excision of a Single Lymph Node (not elsewhere classified),surgeries
drg1000,10% DEXTROSE,non-chronic medications
diag796,ACTH-Adreno corticotropic hormone -  [ EDTA Plasma],clinical pathology
diag141,DIAZEPAM / SEIZURE CONTROL,non-chronic medications
drg4341,FOLEYS CATHETER 16,medical appliances/consumables
diag235,Creatinine -  [Body Fluid],selective health screening
diag467,Cytology -  [Body fluid],cancer care
diag1632,"Vitamin B12, active (Holo Transcobalamin) - [Serum]",non-chronic medications
pcd776,Craniectomy - Posterior Fossa for microvascular decompression of cranial nerve,surgeries
drg2000,GalvusMet 50/1000mg x 60  Sachet,chronic medication
diag1608,"TSH Receptor Antibody LATS, TSI - [Serum]",clinical pathology
pcd82,Transanal Excision Of Rectal Tumour,surgeries
diag1624,Valproic Acid Sodium Valporate - [Serum],clinical pathology
diag1966,XRAY Cervical Spine Swimmers view,x-rays and contrast studies
drg2938,SINUFED TAB,non-chronic medications
diag246,"Electrolytes = Sodium, Potassium, Chloride [Serum]",clinical pathology
diag1596,Thyroxine Binding Globulin (TBG) - [Serum],clinical pathology
pcd311,Lacrimal Syringing and Probing in rooms (With or Without Punctoplasty),surgeries
drg1791,ELISCA CHLORAPHENICOL EYE,non-chronic medications
drg4066,AMLODIPINE VALSARTAN HCT 10 160 25MG TAB,chronic medication
drg4067,AMLODIPINE VALSARTAN HCT 5 160 25MG TAB,chronic medication
med0321,Reparil gel,non-chronic medications
diag621,Troponin-T - (Qualitative)  [Na-Heparin Blood],clinical pathology
pcd793,Nasal Packing,surgeries
dent30,Dental Full Flexible Denture (Upper or Lower Jaw),dentistry
med0306,ACYCLOVIR SUSPENSION,non-chronic medications
drg4110,BIOPSY NEEDLE PROSTATIC,surgeries
diag238,"Creatinine - [ urine, 24 hrs]",selective health screening
dent137,Periodontal Curettage/ SandP,dentistry
drg2917,SEROXAT,non-chronic medications
diag201,Amylase - [Sweat Fluid],clinical pathology
diag1121,DHEA - Dehydroepiandrosterone  -  [Serum],clinical pathology
opt113,OP,medical appliances/consumables
pcd22,Anal Sphincterotomy,surgeries
pcd782,Burr Hole for Biopsy of Intracranial Lesion,surgeries
drg1269,AVSTAT 10MG,chronic medication
drg2255,Lisinopril 5mg X28 (Pharma Max),chronic medication
cli0012,Adenotonsillectomy (And Bilateral),surgeries
drg3037,TENORETIC TAB,non-chronic medications
dent51,Dental Pit and Fissure sealants per tooth,dentistry
diag1520,Rabies virus antibodies Total antibody - [Serum],clinical pathology
med0415,Antazoline Eye drop,non-chronic medications
pcd79,Oesophagectomy - One Stage,surgeries
drg1603,Co-diovan 80mg/12.5MG sach,non-chronic medications
drg4284,ERYTHROPOEITIN INJ 5000IU,non-chronic medications
diag535,"Australia Antigen (HBsAg), Screen -  [Serum]",clinical pathology
diag1502,PML RaRa ( t 15 ; 17 translocation) (For promyelocytic Leukemia (AML M3) -  [Bone Marroaw],cancer care
drg1406,BUSCOPAN SYRUP,non-chronic medications
diag1518,Pseudo Cholinesterase OPC poisoning - [Serum],clinical pathology
diag935,Bordetella Pertussis IgG antibodies-Quantitative - [Serum],clinical pathology
pcd600,"Amputation - Finger Or Thumb, Any Joint",surgeries
diag018,METROHEALTH AUDIOMETRIC (BUA) SCREENING,selective health screening
drg4843,THEOPHYLLINE EPHEDRINE1 TAB,chronic medication
diag003,AUDIOMETRY DIAGNOSTIC,audiology
med0129,HERCEPTIN CHEMOTHERAPY PER DAY,cancer care
opt45,ENT,consultation specialist
diag1904,Reprint of Mammography film,advanced and complex investigations
drg4145,CEFPODOXIME 40MG/5MLS,non-chronic medications
drg2179,JOLTAN PLUS 80/12.5/SACH,chronic medication
drg4070,AMLODIPINE VALSARTAN HCTZ 5 160 25MG TAB,chronic medication
diag194,Alkaline phosphatase with bone fraction Ostase -  [Serum],clinical pathology
drg1916,FEBO-G 40MG * 20 TABS (FEBUXOSTAT),non-chronic medications
med0214,HOMATROPINE DROPS,non-chronic medications
diag940,Brucella antibodies IgG antibody - [Serum],clinical pathology
drg4346,Gabapentin (Brown and Burk)100mg,chronic medication
drg4266,DULCOLAX SUPPOSITORIES 10MG,non-chronic medications
sur0149,AURAL TOILETING,surgeries
diag1042,Chlamydia Pneumoniae IgM Antibody - [Serum],clinical pathology
diag1047,Chlamydia Trachomatis IgM Antibody - [Serum],clinical pathology
diag306,Proteins - [Body fluid],clinical pathology
diag850,Aluminium Graphite Furnace AAS [Urine 24H],clinical pathology
pcd684,Salivary Fistula - Duct Relocation/Repair,surgeries
sur0133,JOINT ASPIRATION,surgeries
diag139,CATHETER SITE DRESSING,medical appliances/consumables
drg1035,ACTRAPID INSULIN 10MLS (40 UNITS/ML),chronic medication
med0152,C.O.C.P,non-chronic medications
pcd331,Excision Of Pterygium And Conjunctival Graft,surgeries
diag840,"Alpha 1 Antitrypsin Z, X , M Mutation by PCR [EDTA Blood]",clinical pathology
drg4447,IRBESARTAN 150MG/HCT 12.5 TAB,chronic medication
diag1979,XRAY Chest Right LAT View,x-rays and contrast studies
drg2739,PRIMARIN TAB,non-chronic medications
diag1443,Nickel (Graphite Furnace AAS) - [Urine Spot],clinical pathology
cli0038,Anterior Resection,surgeries
cli0089,Ambulance services (Outside Lagos) - Per hour,ambulance fees
drg1178,APROVASC 300/10MG TABS X28,chronic medication
diag1975,XRAY Chest Left LAT View,x-rays and contrast studies
diag1640,West nile virus IgG - [Serum],clinical pathology
diag1808,Ovarian Doppler - PCD,advanced and complex investigations
diag1122,DHT Di Hydro Testosterone - [Serum],clinical pathology
drg4461,IVF M MENOTROPIN 75 IU INJECTION,exclusions
pcd325,Upper Eyelid Recession Surgery Unilateral LID MINOR REPAIR,surgeries
med0172,BETADINE OINTMENT,non-chronic medications
diag237,Creatinine -  [Spot urine],selective health screening
diag1842,Scrotal Ultrasound  Doppler,advanced and complex investigations
drg4916,VARICELLA VACCINE,immunizations
diag2149,XRAY Skull Right Mastoid,x-rays and contrast studies
drg2001,Galvusmet 50/500mg x 60  Sachet,non-chronic medications
pcd326,Upper Eyelid Recession Surgery Bilateral LID MAJOR REPAIR,surgeries
drg2287,Losartan 50mg [pocco],chronic medication
med0467,LOSARTAN 50MG (POCCO),chronic medication
oph0033,Occullerg,non-chronic medications
diag197,Amylase -  [Ascitic fluid],clinical pathology
diag199,Amylase - [Pericardial Fluid],clinical pathology
diag502,ImmunoHistochemistry Gastrointestinal Tumor,cancer care
diag2143,XRAY Skull Left Mastoid,x-rays and contrast studies
pcd4251,Perineal Warts (Podophyllin Painting X 6 Courses),surgeries
diag583,HSV 2 IgM antibodies to Herpes Simplex Virus 2 -  [CSF],clinical pathology
diag813,Adiponectin by ELISA [Serum],clinical pathology
pcd209,Pyelotomy,surgeries
pcd53,Laparoscopic Hemicolectomy - With Anastomosis,surgeries
drg3202,Voltaren emuge,non-chronic medications
sur0019,Biopsy Of Lesion Of Facial Bone,surgeries
diag1795,Subclavian Catheter Insertion (Curved),medical appliances/consumables
diag1796,Subclavian Catheter Insertion (Straight),medical appliances/consumables
diag1864,Sono Obstetrics with Biophysical Profile,ultrasound
diag1084,Coxiella Burnetti IgG antibody - [Serum],clinical pathology
diag1085,Coxiella Burnetti IgM antibody - [Serum],clinical pathology
diag360,Methamphetamine Quantitative - [Urine Spot],clinical pathology
med0167,LOCACORTEM VIOFOM EAR DROP,non-chronic medications
med0277,Penicillin Phenoxymethyl Syrup (Penicillin V),non-chronic medications
diag1572,Stone Analysis by FTIR Urine calculus,clinical pathology
diag1670,Comprehensive adult allergy test,clinical pathology
med0043,EXFORGE 10/160MG TAB (AMLODIPINE plus VALSARTAN),non-chronic medications
diag1196,Gliadin-IgG Antibodies De-amidated (DGP) - [Serum],clinical pathology
diag1919,XRAY Abdomen (Lateral shoot through),x-rays and contrast studies
cons076,ONCOLOGY(FOLLOWUP),consultation specialist
med0354,Candesartan 16mg12.5MG,chronic medication
med0247,ADVANT CANDERSARTAN 2MG,chronic medication
med0248,ADVANT CANDERSARTAN 4MG,chronic medication
med0249,ADVANT CANDERSARTAN 8MG,chronic medication
drg4182,CLEMASTINE 1MG1 TAB,non-chronic medications
drg2775,puritan vitamin k tabs 100mcg by 100,non-chronic medications
med0438,Tab Gabapentin NT 400/10mg,chronic medication
drg2732,PREGNAGAIN CAPS,non-chronic medications
drg1600,CO-DIOVAN 320/25 * 28 TABS,chronic medication
drg5005,INSULINSYRINGE,chronic medication
pcd4018,Anaesthetist Fee Medium/Intermediate,surgeries
out0063,DETOXIFICATION,surgeries
pcd166,Coronoidectomy,surgeries
drg4514,LIV 52 CAPS,non-chronic medications
drg2046,GLUCOPHAGE METFORMIN 500m x15,chronic medication
dent09,Dental Acrylic Partial Dentures-Clasps(One),dentistry
dent17,Dental Curettage (Per Tooth),dentistry
drg1032,ACTIFED TAB,non-chronic medications
drg2362,Metformin Sandoz 500mg X9 Sachet,chronic medication
drg4580,MINIZIDE TAB,chronic medication
med0045,GENSULIN,chronic medication
med0151,TAMSULOSIN TAB,chronic medication
diag558,E2 - Estradiol -  [Serum],clinical pathology
diag559,Estradiol (E2) -  [Serum],clinical pathology
diag1035,Ceruloplasmin Copper Oxidase - [Serum],clinical pathology
diag1081,Copper Graphite Furnace AAS - [Urine Spot],clinical pathology
diag1082,Copper reflex Ceruloplasmin - [Serum],clinical pathology
diag1192,Gastrin CLIA Fasting - [Serum],clinical pathology
diag1254,HIV-1 DNA DETECTOR BY PCR QUALITATIVE[EDTA WHOE BLOOD],clinical pathology
diag1352,KCT Kaolin Clotting Time - [Citrated plasma],clinical pathology
diag1516,Protein S Antigen (Free) - [Citrated plasma],clinical pathology
diag1807,Hepatic Vein Doppler,advanced and complex investigations
pcd416,Elbow Replacement Arthroplasty,surgeries
pcd475,Arthroplasty and Arthrodesis,surgeries
pcd522,"Arthroscopy, Decompression and  Acromioplasty",surgeries
pcd54,Transverse Colectomy with Anastomosis,surgeries
sur0024,Biopsy Of Skin Or Subcutaneous Tissue,surgeries
drg1561,CLARITYN ALLERGY TAB 10MG * 7,non-chronic medications
drg2874,ROVAMYCIN 3MU TAB,non-chronic medications
pcd420,Arthroscopy Elbow With Procedure,surgeries
diag963,Cardiolipin Antibody- IgG -  [Serum],clinical pathology
diag964,Cardiolipin Antibody- IgM -  [Serum],clinical pathology
dent49,Dental Partial Denture(1 tooth),dentistry
dent59,Dental Single Arch Denture (Flexible),dentistry
pcd218,Retrograde pyelogram,advanced and complex investigations
diag1946,XRAY Both Knee AP View (Standing),x-rays and contrast studies
diag144,Double Lumen Catheter Insertion,medical appliances/consumables
cons026,Haematologist Follow Up,consultation specialist
drg2262,LO-FEMINAL TAB,non-chronic medications
diag2051,XRAY Lumbosacral AP,x-rays and contrast studies
diag2053,XRAY Lumbosacral LAT,x-rays and contrast studies
sur0039,Cholecystectomy With Exploration Of Common Bile Duct,surgeries
drg4824,SYNALAR C CREAM,non-chronic medications
drg2323,Marcnol 5/2.5mg X30,chronic medication
diag313,"Sodium -  [Urine, spot]",clinical pathology
drg4120,Bromhexine (Bromex Elixir) 4mg/5ml SYRUP,non-chronic medications
drg4951,VOMSET MD4 ONDANSETRON ORALLY DISINTEGRATING TAB. UPS 4MG,non-chronic medications
drg4108,BETOPTIC EYE DROPS 5ML,non-chronic medications
diag603,"T4,Total (Thyroxine), neonatal screen -  [Blood]",clinical pathology
med0222,CO-ARTESIANE,non-chronic medications
drg4588,MORPHINE 20MG TAB,chronic medication
med0180,LOSARTAN HYDROCHLORTHIAZIDE,chronic medication
drg2914,SEPTRIN TAB,non-chronic medications
ser0001,WBC,clinical pathology
cli0113,CPK-MB,clinical pathology
sur0126,HERNIORRHAPHY - OBSTRUCTED,surgeries
hae0003,RBS,clinical pathology
diag556,DHEAS - Dehydroepiandrosterone Sulphate -  [Serum],clinical pathology
diag1893,Ductography,x-rays and contrast studies
diag431,"Malaria Parasite (Thick, Thin Films and Antigen Test)",clinical pathology
drg1700,Dexamethasone/Neomycin eye drops,non-chronic medications
drg1955,FLU J TAB,non-chronic medications
drg2349,MELOCAP MELOXICAM 7.5MG,non-chronic medications
phot01,Phototherapy (Single) Per Day,neonatal services
pcd783,Burr Hole Stereotactic Biopsy for intracranial lesion,surgeries
sur0025,Biopsy/Sampling Of Cervical Lymph Nodes,surgeries
diag1524,Renin Direct - Aldosterone - Ratio -[EDTA Plasma and Serum],clinical pathology
pcd712,Arthrocentesis Temporo-mandibular Joint - Bilateral,surgeries
diag151,Extra femoral catheter,medical appliances/consumables
drg3081,TRAVOCORT CREAM,non-chronic medications
drg4212,CYCLOGEST PROGESTERONE 400MG,non-chronic medications
diag474,Cytology - [Pericardial fluid],cancer care
diag829,Aldosterone ELISA [Urine 24H],clinical pathology
out0162,CATHETER SPECIMEN URINE CSU,medical appliances/consumables
med0187,TRANEXAMIC ACID  250MG TAB,non-chronic medications
cons066,Vascular Surgeon Review,surgeries
drg2278,LORATADINE TABS 10MG BY 100,non-chronic medications
pcd289,Open Oophorectomy - Bilateral,surgeries
diag2128,XRAY Scoliosis Series / Whole Spine,x-rays and contrast studies
diag585,Immuno Histochemistry Of Fore-Arm,cancer care
pcd333,Secondary IOL Implant (Standard Monofocal only),surgeries
med0160,VITAMIN D TAB,non-chronic medications
diag910,Benzodiazapine / Diazepam - [Urine Spot],clinical pathology
diag1655,ABO Blood grouping and Rhesus typing/ Blood Group   -  [EDTA -Blood],clinical pathology
diag1978,XRAY Chest Right Decubitus/Supine,x-rays and contrast studies
diag479,Endometrial Biopsy  Histology,surgeries
diag1666,Australia Antigen (HBsAg) (Spot) -  [Serum],clinical pathology
med0519,Indocotin 1.5mg,chronic medication
diag1974,XRAY Chest Left Decubitus/Supine,x-rays and contrast studies
diag1534,Rubella (German measles) virus RNA detection by PCR - [Urine],clinical pathology
dent08,Dental Acrylic Jacket Crown Per Unit,dentistry
diag1537,S-100 Protein by Immunohistochemistry -  [Tissue],clinical pathology
diag851,Aluminium Graphite Furnace AAS [Urine Spot],clinical pathology
ann0001,"Arik Annual(PE,FBC,HIV screening,Urinalysis,Chest x-ray)",selective health screening
drg1224,ASPIRIN GASTRO RT 75MG per sat,chronic medication
diag256,"GTC-Glucose Tolerance Curve  [Plasma, Urine]",clinical pathology
cli0046,Bilateral Toileting,audiology
x-0001,Cystourethrogram,surgeries
med0289,ACICLOVIR TAB 100MG,non-chronic medications
pcd52,Right Hemicolectomy - With Anastomosis,surgeries
pcd708,Condylectomy Temporomandibular Joint,surgeries
dent11,Dental Acrylic Partial Dentures-First Tooth,dentistry
med0239,Mifepristone Misoprostol 200mg/800mg,non-chronic medications
diag1365,Leptin (Human Leptin) - [Serum],clinical pathology
pcd424,Decompression Fasciotomy (Compartment Syndrome),surgeries
pcd462,Decompression Fasciotomy - Thigh / Knee,surgeries
pcd51,Left Hemicolectomy - With Anastomosis,surgeries
sur0088,Diagnostic Enteroscopy,surgeries
diag058,CT Extremity,advanced and complex investigations
med0485,NATRIXAM 1.5MG/5MG,chronic medication
nep0001,Paediatric Peritoneal Dialysis,renal dialysis
opt109,Nylol Gel,non-chronic medications
drg2115,Hydrex 25mg  Pper Sachet),chronic medication
pcd297,Cryotherapy/Cautery of Cervix,surgeries
diag544,CEA -Carcino Embryonic Antigen -  [Body Fluid],cancer care
sur0182,Resection and anastomosis,surgeries
drg2727,PREDICTE TESTSTRIPS (SACHET),medical appliances/consumables
drg4090,ANTI SNAKE SERUM,non-chronic medications
drg1115,AMLODIPINE SANDOZ 10MG TABS X30,chronic medication
drg1336,BETAMETHASONE N  CREAM DGF,clinical pathology
diag1856,Sono Guided Catheter Removal,ultrasound
drg2704,PLASTER 2inch 5.0 X 5.0,medical appliances/consumables
diag1532,Rubella (German measles) virus RNA detection by PCR - [CSF],clinical pathology
pcd332,Excision of Pterygium With Conjunctival Graft - Bilateral,surgeries
diag913,Beta Galactosidase GM 1 / MPS IV B - [Heparin Blood],clinical pathology
diag266,LAP Score (Leucocyte Alkaline Phosphatase ) score -  [Blood],clinical pathology
drg1261,AVAMYS,non-chronic medications
diag391,Gamma Interferon for TB (Quantiferon TB Gold) -  [Blood],clinical pathology
pcd4116,Endoscopy Of The GIT,surgeries
pcd64,Creation of Gastrostomy or Jejunostomy,surgeries
diag1604,TPMT Enzyme Activity Thiopurine Methyl Transferase - [EDTA Plasma],clinical pathology
pcd4403,CIRCUMCISION BY PAEDIATRIC SURGEON,neonatal services
drg2204,LABETALOL 200MG TABS X30 per satchet,chronic medication
end0001,GASTRODUODENSCOPY,surgeries
dent10,Dental Acrylic Partial Dentures-Each Additinal Tooth,dentistry
