Procedure Code,Procedure Description,Benefit Group,,,,,,,,,,,,,,
DRG4191,CLONIDINE 100MCG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2947,SODIUM CHROMOGLYCATE EYE DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1012,CD38 (Plasma cell/Prognostic CLL marker) -  [EDTA -Blood],Cancer Care,,,,,,,,,,,,,,
DRG3080,TRAVANTAN OINTMENT,Chronic Medication,,,,,,,,,,,,,,
DRG1223,ASPIRIN 75MG TAB (DISPERSIBLE),Chronic Medication,,,,,,,,,,,,,,
MED0302,GLIMEPIRIDE GETRYL 2MG,Chronic Medication,,,,,,,,,,,,,,
DRG1242,ATENOLOL 100MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1243,ATENOLOL 50MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2706,PLENDIL TAB 5MG,Chronic Medication,,,,,,,,,,,,,,
DRG3102,TRITACE 5MG TAB,Chronic Medication,,,,,,,,,,,,,,
DIAG1260,HIV-1-RNA Quantification (Viral load) -  [EDTA Plasma],HIV/AIDS Care and Treatment,,,,,,,,,,,,,,
DRG4603,NALOXONE HCL 400MCG ML,Non-Chronic Medications,,,,,,,,,,,,,,
PCD228,Urethrectomy,Surgeries,,,,,,,,,,,,,,
PCD92,Pyloroplasty,Surgeries,,,,,,,,,,,,,,
DRG1117,AMLONG (AMLODIPINE) 10MG,Chronic Medication,,,,,,,,,,,,,,
DRG1644,CRESTOR (ROSUVASTATIN) 10MG,Chronic Medication,,,,,,,,,,,,,,
DRG1645,CRESTOR (ROSUVASTATIN) 20MG,Chronic Medication,,,,,,,,,,,,,,
DRG2372,MICARDIS (TELMISARTAN) 40MG,Chronic Medication,,,,,,,,,,,,,,
DRG2373,MICARDIS (TELMISARTAN) 80MG,Chronic Medication,,,,,,,,,,,,,,
MED0432,Adalat retard tab 20mg,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG328,"Urea Nitrogen (BUN) -  [Urine, 24hrs]",Clinical Pathology,,,,,,,,,,,,,,
DIAG781,"17  Hydroxy progesterone, neonatal screen -  [Blood]",Clinical Pathology,,,,,,,,,,,,,,
DRG2294,LOTRIAL 10mg x 30,Chronic Medication,,,,,,,,,,,,,,
DRG4640,OLMESARTAN ORION 20MG TABS,Chronic Medication,,,,,,,,,,,,,,
MED0474,ALDACTONE 25MG X 100,Non-Chronic Medications,,,,,,,,,,,,,,
MED0503,B-COR 2.5MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1162,"Factor V leiden, mutant detection -  [EDTA-Blood]",Clinical Pathology,,,,,,,,,,,,,,
DRG4554,MENTHOL CRYSTALS,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG438,MCV -Mean Corpuscular Volume -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG541,"CA- 15.3 (Cancer Antigen 15.3),  -  [Serum]",Cancer Care,,,,,,,,,,,,,,
DRG2497,NIFEDIN DEXCEL RETARD 20M,Chronic Medication,,,,,,,,,,,,,,
DRG2159,IVYSINE EYE DROP 10ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2205,LACTULOSE SOLUTION 300MLS,Non-Chronic Medications,,,,,,,,,,,,,,
PCD337,Yag Laser Capsulotomy,Surgeries,,,,,,,,,,,,,,
DRG1118,AMLONG (AMLODIPINE) 5MG,Chronic Medication,,,,,,,,,,,,,,
DRG1646,CRESTOR (ROSUVASTATIN) 5MG,Chronic Medication,,,,,,,,,,,,,,
DRG2295,LOTRIAL 5mg x 30,Chronic Medication,,,,,,,,,,,,,,
DRG4131,CADUET 5 10MG,Chronic Medication,,,,,,,,,,,,,,
DRG4502,LETROZOLE 2 5MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0411,Pilex Tab,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG190,Albumin - [Ascitic fluid],Clinical Pathology,,,,,,,,,,,,,,
DIAG436,MCH -Mean Corpuscular Haemoglobin -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG1503,CERUMOL EAR DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
MED0124,Candibiotic Ear Drops,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1744,DISPERSIBLE ASPIRIN 75MG TEVA,Chronic Medication,,,,,,,,,,,,,,
DRG4041,ALTARGO CREAM RETAPAMULIN,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG780,"1,25 Dihydroxy Cholecalciferol (Vitamin D) -  [Serum]",Non-Chronic Medications,,,,,,,,,,,,,,
DRG4272,ENCEPHABOL SYR 200MLS,Chronic Medication,,,,,,,,,,,,,,
CLI0013,Adhesiolysis,Surgeries,,,,,,,,,,,,,,
PCD149,Thoracotomy,Surgeries,,,,,,,,,,,,,,
PCD798,Nebulisation,Emergency/Critical Care,,,,,,,,,,,,,,
DIAG045,CT Chest / Abdomen and Pelvis,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1408,CAC 1000,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1723,DICLOFENAC SODIUM 50MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2681,Phlebodia 600mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4317,Fexofenadine 180mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4546,MELOXICAM 15MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1013,CD4 (Helper T Cell marker) -  [EDTA-Blood],HIV/AIDS Care and Treatment,,,,,,,,,,,,,,
DRG4479,KETOTIFEN 1MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4480,KETOTIFEN 2MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
MED0528,IV ocexone 1g,Non-Chronic Medications,,,,,,,,,,,,,,
PCD383,Incision Of Tendon Sheath,Surgeries,,,,,,,,,,,,,,
DRG1539,CILOXAN EYE DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2156,IVYDEXGENT EYE DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2900,SALINE NASAL DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4804,SPERSALLERG EYE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4943,VITRICINE EYE DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
MED0242,MICROSOL EYE DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2812,REGROTON TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4893,TYZINE NASAL DROP 0.1 PERCENT 15ML,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG624,Vitamin D3 (25 Hydroxy Cholecalciferol) -  [Serum],Non-Chronic Medications,,,,,,,,,,,,,,
DIAG1002,CD3/CD4/CD8 Counts -  [EDTA-Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG2259,LIVOLIN FORTE,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG117,CT Temporo Mandibular Joint,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG2217,LASIX TAB 40MG,Chronic Medication,,,,,,,,,,,,,,
DRG4318,Fexofenadine 120mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4338,FLUTAMIDE 250MG,Chronic Medication,,,,,,,,,,,,,,
MED0055,CEFIXIME 400MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
PCD35,Excision Of Pilonidal Sinus,Surgeries,,,,,,,,,,,,,,
PCD161,Examination Under Anaesthetic,Surgeries,,,,,,,,,,,,,,
DRG1385,BRINERDIN TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1517,CHLORAMPHENICOL EAR DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2155,XRAY Sternoclavicular Joint,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG327,Urea Nitrogen (BUN) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
OPT114,Optical Coherence Tomography,Ophthalmic care,,,,,,,,,,,,,,
DENT16,Dental Crown Cementation,Dentistry,,,,,,,,,,,,,,
PCD107,Excision of Submandibular Gland,Surgeries,,,,,,,,,,,,,,
DRG2107,HUMALOG (PENFIL),Chronic Medication,,,,,,,,,,,,,,
DIAG970,CD - TCR-Alpha Beta  -  [EDTA  Blood],Cancer Care,,,,,,,,,,,,,,
DIAG072,CT Internal Auditory Canal,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1593,COCODAMOL 500MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3022,TAVANIC 500mg,Non-Chronic Medications,,,,,,,,,,,,,,
MED0102,ONDANSETRON TAB 4MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2539,NOVORAPID FLEXPEN 100U/ML,Chronic Medication,,,,,,,,,,,,,,
DRG2523,NORMORETIC TAB,Chronic Medication,,,,,,,,,,,,,,
DRG4509,LIGNOCAIN 2 PRC (PLAIN) 20ML INJ.,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1518,CHLORAMPHENICOL EYE DROPS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1235,ATACAND 16MG TABS *28,Chronic Medication,,,,,,,,,,,,,,
DRG1279,AZOPT EYE DROPS,Chronic Medication,,,,,,,,,,,,,,
DRG1328,BETADRONE-N EYE/EAR DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1776,E MAL-150MG/2ML INJ,Non-Chronic Medications,,,,,,,,,,,,,,
PCD308,Caeseran Section  Hysterectomy,Surgeries,,,,,,,,,,,,,,
DIAG401,Rubella (German Measles) -IgG Antibodies -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG402,Rubella (German Measles) -IgM Antibodies -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1233,Hepatitis A Virus RNA detection -   [EDTA-Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1234,Hepatitis A Virus RNA detection -  [EDTA-Blood.],Clinical Pathology,,,,,,,,,,,,,,
DIAG1235,Hepatitis A Virus RNA detection -  [EDTA-Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG1939,FLAGYL 400MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG512,Pap Smear (Liquid based cytology sample),Clinical Pathology,,,,,,,,,,,,,,
PCD41,Open Appendicectomy,Surgeries,,,,,,,,,,,,,,
PCD46,Laparoscopic Appendicectomy,Surgeries,,,,,,,,,,,,,,
DIAG121,CT Venography (Per Limb),Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1455,CARBIMAZOLE 5MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1962,FLUCONAZOLE 150mg,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2689,PIOGLITAZONE 15MG,Chronic Medication,,,,,,,,,,,,,,
DRG2757,PROPRANOLOL TAB 40MG,Chronic Medication,,,,,,,,,,,,,,
DRG4057,AMINOPHYLLINE 100MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4742,PYRIDOXINE 25MG,Non-Chronic Medications,,,,,,,,,,,,,,
MED0080,SAYANA PRESS INJECTION,Family Planning Services,,,,,,,,,,,,,,
MED0083,MONTELUKAST 10MG,Chronic Medication,,,,,,,,,,,,,,
MED0317,Fluconazole 150mg,Non-Chronic Medications,,,,,,,,,,,,,,
MED0417,Provera 10mg,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG395,HSV 1 and 2 IgG antibodies to Herpes Simplex Virus 1 and 2 -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1011,CD34-IHC single marker - [Tissue],Cancer Care,,,,,,,,,,,,,,
DRG1966,FLUOXETINE 20MG CAPS,Chronic Medication,,,,,,,,,,,,,,
DRG2128,IBRUPOFEN SYRUP 100ML/5ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2650,PEFLACINE 400MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
MED0030,Armsling,Medical Appliances/Consumables,,,,,,,,,,,,,,
CLI0111,CHOLEDOCHOJEJUNOSTOMY,Surgeries,,,,,,,,,,,,,,
DIAG571,FSH-LH-Prolactin-TSH -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG1515,CHLORAMPHENICOL 250MG CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG570,FSH-LH-Prolactin-Testosterone -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1024,CD61 (MegaKaryocytic marker) -  [EDTA-Blood],Cancer Care,,,,,,,,,,,,,,
DIAG991,CD20 (Pan B Cell marker) -  [Tissue],Cancer Care,,,,,,,,,,,,,,
DIAG047,CT Chest with Abdomen,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG1450,CAPTOPRIL 25MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1451,CAPTOPRIL 50MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG1886,ESIDREX 25MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2241,LIPITOR 10MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2242,LIPITOR 20MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2405,MONTELUKAST 5MG,Chronic Medication,,,,,,,,,,,,,,
DRG2690,PIOGLITAZONE 30MG,Chronic Medication,,,,,,,,,,,,,,
DRG4437,Insuman combo 1KIU/10ML (Vial),Chronic Medication,,,,,,,,,,,,,,
DRG4439,Insuman Rapid 1KIU/10ML (Vial),Chronic Medication,,,,,,,,,,,,,,
MED0431,Spironolactone tab 100mg,Chronic Medication,,,,,,,,,,,,,,
DIAG1780,MRI Whole Body Scan,Advanced And Complex Investigations,,,,,,,,,,,,,,
PCD445,Plaster Of Paris Below Elbow,Surgeries,,,,,,,,,,,,,,
PCD447,Plaster Of Paris Long Arm,Surgeries,,,,,,,,,,,,,,
DIAG990,CD20 (Pan B Cell marker) -  [Blood],Cancer Care,,,,,,,,,,,,,,
CONS005,Cardiothoracic Surgeon  Follow Up,Consultation Specialist,,,,,,,,,,,,,,
DIAG1346,Kappa Light Chains -  [EDTA  Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG2355,MEPIRYL 4MG,Chronic Medication,,,,,,,,,,,,,,
DRG4858,Torsemide  100mg,Chronic Medication,,,,,,,,,,,,,,
DRG4859,Torsemide  20mg,Chronic Medication,,,,,,,,,,,,,,
MED0479,LOZATAN 50MG,Chronic Medication,,,,,,,,,,,,,,
DIAG1261,HIV-1-Virtual phenotypic drug resistance test -  [EDTA -Plasma],HIV/AIDS Care and Treatment,,,,,,,,,,,,,,
DIAG099,CT Pulmonary Angiography,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG407,Absolute Granulocyte Count -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG409,Absolute Monocyte Count -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG410,Absolute Neutrophils Count -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG439,"Monocyte Count, Absolute -  [Blood]",Clinical Pathology,,,,,,,,,,,,,,
DIAG184,"Acid Phosphatase, prostatic fraction -  [Serum]",Clinical Pathology,,,,,,,,,,,,,,
DIAG1517,PSA -Prostate specific antigen -  [Tissue],Cancer Care,,,,,,,,,,,,,,
DIAG596,Rubella (German Measles) - IgG Antibodies -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DIAG597,Rubella (German Measles) - IgM Antibodies -  [CSF],Clinical Pathology,,,,,,,,,,,,,,
DRG4438,Insuman combo 300IU/3ML (Catridge),Chronic Medication,,,,,,,,,,,,,,
DRG4440,Insuman Rapid 300IU/3ML (Catridge),Chronic Medication,,,,,,,,,,,,,,
DIAG1170,FECAL CALPROTECTIN,Clinical Pathology,,,,,,,,,,,,,,
MED0150,DABIGATRAN  150MG,Chronic Medication,,,,,,,,,,,,,,
DIAG043,CT Cervicodorsal Spine,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG053,CT Dorsolumar Spine,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG2284,LOSARTAN 50MG,Chronic Medication,,,,,,,,,,,,,,
DRG2930,SIMVASTATIN 20MG,Chronic Medication,,,,,,,,,,,,,,
DRG4339,FLUVASTATIN LESCOL 20MG,Chronic Medication,,,,,,,,,,,,,,
MED0212,ROSUVASTATIN 10MG,Chronic Medication,,,,,,,,,,,,,,
MED0213,ROSUVASTATIN 20MG,Chronic Medication,,,,,,,,,,,,,,
MED0487,ROSUVASTATIN 10MG,Chronic Medication,,,,,,,,,,,,,,
DIAG411,Absolute Reticulocyte Count -  [Blood],Clinical Pathology,,,,,,,,,,,,,,
DRG4399,HYDROCHLORTHIAZIDE 50MG,Chronic Medication,,,,,,,,,,,,,,
CONS020,General Surgeon Follow Up,Consultation Specialist,,,,,,,,,,,,,,
DRG1704,DEXTROSE SALINE 4.3 (AVENTRA),Non-Chronic Medications,,,,,,,,,,,,,,
DRG4283,ERYTHROMYCIN 4 PERCENT CREAM 30G,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG807,ADA Adenosine Deaminase [Pus],Clinical Pathology,,,,,,,,,,,,,,
DIAG808,ADA Adenosine Deaminase [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG750,Sputum M/C/S,Selective Health Screening,,,,,,,,,,,,,,
DIAG1257,HIV-1-genotyping and drug resistance test -  [EDTA Plasma],HIV/AIDS Care and Treatment,,,,,,,,,,,,,,
MED0166,ZINC 20 MG,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG526,AFP-Alpha Feto Protein -  [Amniotic fluid],Clinical Pathology,,,,,,,,,,,,,,
DRG2178,JOLTAN PLUS 160/25MG * 30,Chronic Medication,,,,,,,,,,,,,,
DIAG116,CT Temporal Bone,Advanced And Complex Investigations,,,,,,,,,,,,,,
MED0345,Citicoline 1G,Non-Chronic Medications,,,,,,,,,,,,,,
MED0405,Arteether 150mg,Non-Chronic Medications,,,,,,,,,,,,,,
PCD510,Excision of  Neuroma,Surgeries,,,,,,,,,,,,,,
DRG4768,SACCHAROMYCES BOULARDII POWDER,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG324,"Urea -  [Urine, 24hrs]",Clinical Pathology,,,,,,,,,,,,,,
OPT179,Major  (Theatre Fee),Surgeries,,,,,,,,,,,,,,
PCD4342,Theatre Fee Major,Surgeries,,,,,,,,,,,,,,
DRG2687,PILOCARPINE 4% EYE DROP,Chronic Medication,,,,,,,,,,,,,,
DIAG335,Urine Protein Creatinine [Ratio],Clinical Pathology,,,,,,,,,,,,,,
DIAG1137,EBV DNA detection  -  [EDTA-Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1561,Soluble Transferrin Receptor - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG753,Stool M/C/S,Selective Health Screening,,,,,,,,,,,,,,
PCD4270,Pure Tone Audiometry,Audiology,,,,,,,,,,,,,,
PCD4174,Injection Sclerotherapy Of Varicose Veins,Surgeries,,,,,,,,,,,,,,
DIAG145,Evoked potential test,Advanced and Complex Investigations,,,,,,,,,,,,,,
DRG4979,YAZ,Non-Chronic Medications,,,,,,,,,,,,,,
MED0329,CHYMORAL,Non-Chronic Medications,,,,,,,,,,,,,,
MED0481,RAMITACE 5MG,Chronic Medication,,,,,,,,,,,,,,
DRG4656,OXYBUTYNIN 5MG TABS,Non-Chronic Medications,,,,,,,,,,,,,,
PCD456,Plaster Of Paris Leg Cast,Surgeries,,,,,,,,,,,,,,
DIAG334,Urine Osmolality,Clinical Pathology,,,,,,,,,,,,,,
CONS023,Gynaecology and Obstetrics Consultation,Consultation Specialist,,,,,,,,,,,,,,
DRG1175,APRESOLINE  HYDRALAZINE 25MG TAB,Chronic Medication,,,,,,,,,,,,,,
DRG2686,PILOCARPINE 2% EYE DROP,Chronic Medication,,,,,,,,,,,,,,
DRG2710,Podophyllin Paint Compound 5ml,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG568,FSH-LH-Prolactin -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
ADM0007,Accommodation and Nursing- Daycase,Accomodation,,,,,,,,,,,,,,
CONS041,Orthodontist Consultation,Consultation Specialist,,,,,,,,,,,,,,
DRG1587,COAPROVEL 300/12.5MG TABS XSACHETS,Chronic Medication,,,,,,,,,,,,,,
DENT127,Excision of Granuloma,Surgeries,,,,,,,,,,,,,,
MED0483,ARBITEL-40MG,Chronic Medication,,,,,,,,,,,,,,
DIAG1952,XRAY Both Patella Skyline View,X-Rays and Contrast Studies,,,,,,,,,,,,,,
CLI0011,Adenotonsilectomy - Double Room,Surgeries,,,,,,,,,,,,,,
DIAG042,CT Cervical Spine,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG064,CT Guided drainage,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG083,CT Lumbar Spine,Advanced And Complex Investigations,,,,,,,,,,,,,,
DRG3101,TRITACE 2.5MG * 28 TABS,Chronic Medication,,,,,,,,,,,,,,
DRG4474,KETAMINE INJ 50MG ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4693,PHENOBARBITONE INJ 200MG ML,Chronic Medication,,,,,,,,,,,,,,
OPT174,Foreign Body Removal,Surgeries,,,,,,,,,,,,,,
OPT30,Contact Lens,Spectacles Frames And Contact Lenses,,,,,,,,,,,,,,
DRG1389,BROMOCRiPTINE (BROMERGON) 1.25MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG591,LH-Luteinizing Hormone -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG613,Toxoplasma -IgG  antibodies (Quantitative) -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1385,LH-Luteinizing Hormone -  [Tissue],Clinical Pathology,,,,,,,,,,,,,,
DIAG783,17 Hydroxy-progesterone -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG946,C3 - Complement 3 - [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG947,C4 - Complement 4 -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG2354,MEPIRYL 2 mg,Chronic Medication,,,,,,,,,,,,,,
DRG1104,AMITRIPTYLLINE 50MG TAB,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1207,ARTHOCARE FORTE,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1354,BIOCOTEN CREAM 20MG,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1486,CELLGEVITY,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1631,"CO-TROMOXAZOLE (UNBRANDED SEPTRIN) 480MG
TAB",Non-Chronic Medications,,,,,,,,,,,,,,
DRG2944,SKINEAL CREAM 15GM,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4187,CLINDAMYCIN INJECTION 600MG ML,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4718,PRENATAL CAPS,Non-Chronic Medications,,,,,,,,,,,,,,
BIO0028,Osmotic fragility test,Clinical Pathology,,,,,,,,,,,,,,
DIAG572,FSH-LH-Testosterone -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG804,ADA Adenosine Deaminase [CSF],Clinical Pathology,,,,,,,,,,,,,,
OPH0037,Indirect Ophthalmoscopy,Ophthalmic care,,,,,,,,,,,,,,
PCD126,Bilateral Hernia - Inguinal Repair,Surgeries,,,,,,,,,,,,,,
PCD373,Enucleation Of Eye,Surgeries,,,,,,,,,,,,,,
PCD766,CT Guided Biopsy,Advanced And Complex Investigations,,,,,,,,,,,,,,
SUR0184,CAESAREAN SECTION AND MYOMECTOMY,Surgeries,,,,,,,,,,,,,,
DRG2430,MYLOVASC-2.5MG TABS X30,Chronic Medication,,,,,,,,,,,,,,
DIAG1954,XRAY Both Shoulder Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG1956,XRAY Both Wrist Joint AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG2933,SIMVASTATINE 20MG,Chronic Medication,,,,,,,,,,,,,,
DRG2162,IVYXOLOL EYE DROPS,Chronic Medication,,,,,,,,,,,,,,
DIAG723,High Vaginal Swab (HVS) M/C/S,Clinical Pathology,,,,,,,,,,,,,,
CONS088,FAMILY MEDICINE PHYSICIAN CONSULTATION,Consultation Specialist,,,,,,,,,,,,,,
DRG1046,AFRAB VITE DROP,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG757,Swab M/C/S,Clinical Pathology,,,,,,,,,,,,,,
CONS012,Dietician Follow Up,Consultation Specialist,,,,,,,,,,,,,,
DRG1973,FORTUM 1G INJ,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG210,"Bilirubin (Indirect), serum -  [Serum]",Clinical Pathology,,,,,,,,,,,,,,
DIAG1282,HLA-B27 -  [EDTA  Blood],Clinical Pathology,,,,,,,,,,,,,,
DIAG1366,Leptospira - IgG antibody -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DIAG1367,Leptospira - IgM Antibody -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
MED0189,KETOCONAZOLE CREAM,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2153,XRAY Soft Tissue neck AP/LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DRG4020,Additrace 10ml,Non-Chronic Medications,,,,,,,,,,,,,,
OPH0009,CARBOMER GEL,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG2154,XRAY Soft Tissue neck LAT,X-Rays and Contrast Studies,,,,,,,,,,,,,,
DIAG396,HSV 1 and 2 IgM antibodies to Herpes Simplex Virus 1 and2 -  [Serum],Clinical Pathology,,,,,,,,,,,,,,
DRG1169,ANUSOL SUPPOSITORIES,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1876,EPSOM SALT,Non-Chronic Medications,,,,,,,,,,,,,,
DRG3027,TEARS NATURALE EYE Drops,Non-Chronic Medications,,,,,,,,,,,,,,
DRG4623,NIFEDIPINE 30MG TAB,Chronic Medication,,,,,,,,,,,,,,
DIAG1248,Histoplasma antibody -  [Body Fluids],Clinical Pathology,,,,,,,,,,,,,,
DIAG1251,Histoplasma Antibody - [Body fluids],Clinical Pathology,,,,,,,,,,,,,,
OPT197,Traumatic Corneal And/or Scleral Laceration Repair  (Major-SURGICAL),Surgeries,,,,,,,,,,,,,,
PCD31,Banding Of Haemorrhoids,Surgeries,,,,,,,,,,,,,,
DRG3305,ZOLADEX 10.8MG,Cancer Care,,,,,,,,,,,,,,
DRG4966,Xarelto 15mg,Chronic Medication,,,,,,,,,,,,,,
DIAG286,"Phosphorus, inorganic -  [Serum]",Clinical Pathology,,,,,,,,,,,,,,
PCD429,Bone Marrow Aspiration (Biopsy),Surgeries,,,,,,,,,,,,,,
DRG1323,BENZYL BENZOATE LINIMENT 100MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1691,DEPOMEDROL INJ 40MG/AMP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1692,DEPOMEDROL INJ 80MG/AMP,Non-Chronic Medications,,,,,,,,,,,,,,
DRG2740,PRIMOGYN DEPOT 10MG INJ,Non-Chronic Medications,,,,,,,,,,,,,,
CLI0145,Anti Cyclic Citrulinated Peptide,Clinical Pathology,,,,,,,,,,,,,,
DRG4179,CLAVAM 228MG/5ML_100MLS,Non-Chronic Medications,,,,,,,,,,,,,,
DRG1371,BONDOMET,Chronic Medication,,,,,,,,,,,,,,
DRG4658,OXYCORTRIL_B EYE EAR SUSP 5ML,Non-Chronic Medications,,,,,,,,,,,,,,
DIAG711,Endocervical Swab M/C/S,Clinical Pathology,,,,,,,,,,,,,,
DIAG052,CT Dental Scan,Advanced And Complex Investigations,,,,,,,,,,,,,,
DIAG108,CT Scanogram,Advanced And Complex Investigations,,,,,,,,,,,,,,
DENT112,Scaling and Polishing,Dentistry,,,,,,,,,,,,,,
